provinsi,sektor_kode,sektor,nilai,bulan
Kalimantan Selatan,RSTU,Jasa Lainnya,1812474334877,2026-03
Kalimantan Selatan,RT,Rumah Tangga (konsumsi),32781825237325,2026-03
Kalimantan Tengah,A,"Pertanian, Kehutanan, dan Perikanan",16470419697978,2026-03
Kalimantan Tengah,B,Pertambangan dan Penggalian,238403101609,2026-03
Kalimantan Tengah,C,Industri Pengolahan,1044888320247,2026-03
Kalimantan Tengah,D,Pengadaan Listrik dan Gas,92132407951,2026-03
Kalimantan Tengah,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",11271643322,2026-03
Kalimantan Tengah,F,Konstruksi,888284523620,2026-03
Kalimantan Tengah,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,9624603801223,2026-03
Kalimantan Tengah,H,Transportasi dan Pergudangan,828542004194,2026-03
Kalimantan Tengah,I,Penyediaan Akomodasi dan Makan Minum,843439955670,2026-03
Kalimantan Tengah,J,Informasi dan Komunikasi,73129808552,2026-03
Kalimantan Tengah,K,Jasa Keuangan dan Asuransi,770952785123,2026-03
Kalimantan Tengah,L,Real Estat,291560839217,2026-03
Kalimantan Tengah,MN,Jasa Perusahaan,251608016548,2026-03
Kalimantan Tengah,P,Jasa Pendidikan,79365838896,2026-03
Kalimantan Tengah,Q,Jasa Kesehatan dan Kegiatan Sosial,93986457873,2026-03
Kalimantan Tengah,RSTU,Jasa Lainnya,983220667537,2026-03
Kalimantan Tengah,RT,Rumah Tangga (konsumsi),21774898696099,2026-03
Kalimantan Timur,A,"Pertanian, Kehutanan, dan Perikanan",15609872409410,2026-03
Kalimantan Timur,B,Pertambangan dan Penggalian,13230549512165,2026-03
Kalimantan Timur,C,Industri Pengolahan,2457436055542,2026-03
Kalimantan Timur,D,Pengadaan Listrik dan Gas,2879889197995,2026-03
Kalimantan Timur,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",112539634956,2026-03
Kalimantan Timur,F,Konstruksi,8987773326589,2026-03
Kalimantan Timur,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,14257455591046,2026-03
Kalimantan Timur,H,Transportasi dan Pergudangan,8297549358891,2026-03
Kalimantan Timur,I,Penyediaan Akomodasi dan Makan Minum,2501141893884,2026-03
Kalimantan Timur,J,Informasi dan Komunikasi,79802959252,2026-03
Kalimantan Timur,K,Jasa Keuangan dan Asuransi,196408037470,2026-03
Kalimantan Timur,L,Real Estat,1281479485750,2026-03
Kalimantan Timur,MN,Jasa Perusahaan,1935843474877,2026-03
Kalimantan Timur,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",821474316619,2026-03
Kalimantan Timur,P,Jasa Pendidikan,186104017297,2026-03
Kalimantan Timur,Q,Jasa Kesehatan dan Kegiatan Sosial,312059218435,2026-03
Kalimantan Timur,RSTU,Jasa Lainnya,2256656483505,2026-03
Kalimantan Timur,RT,Rumah Tangga (konsumsi),34851552249439,2026-03
Kalimantan Utara,A,"Pertanian, Kehutanan, dan Perikanan",1742641701358,2026-03
Kalimantan Utara,B,Pertambangan dan Penggalian,117189221418,2026-03
Kalimantan Utara,C,Industri Pengolahan,5727805591096,2026-03
Kalimantan Utara,D,Pengadaan Listrik dan Gas,5487003690,2026-03
Kalimantan Utara,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",11955200834,2026-03
Kalimantan Utara,F,Konstruksi,306293561596,2026-03
Kalimantan Utara,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,2843430705932,2026-03
Kalimantan Utara,H,Transportasi dan Pergudangan,713052697467,2026-03
Kalimantan Utara,I,Penyediaan Akomodasi dan Makan Minum,262485162157,2026-03
Kalimantan Utara,J,Informasi dan Komunikasi,2494610685,2026-03
Kalimantan Utara,K,Jasa Keuangan dan Asuransi,6219246661,2026-03
Kalimantan Utara,L,Real Estat,58615630783,2026-03
Kalimantan Utara,MN,Jasa Perusahaan,141448584536,2026-03
Kalimantan Utara,P,Jasa Pendidikan,7070158237,2026-03
Kalimantan Utara,Q,Jasa Kesehatan dan Kegiatan Sosial,15782758753,2026-03
Kalimantan Utara,RSTU,Jasa Lainnya,314021617628,2026-03
Kalimantan Utara,RT,Rumah Tangga (konsumsi),6055513493541,2026-03
Kepulauan Riau,A,"Pertanian, Kehutanan, dan Perikanan",689903788406,2026-03
Kepulauan Riau,B,Pertambangan dan Penggalian,1013180066880,2026-03
Kepulauan Riau,C,Industri Pengolahan,6377254589721,2026-03
Kepulauan Riau,D,Pengadaan Listrik dan Gas,5311340082297,2026-03
Kepulauan Riau,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",97940198919,2026-03
Kepulauan Riau,F,Konstruksi,1449232392370,2026-03
Kepulauan Riau,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,7820913659477,2026-03
Kepulauan Riau,H,Transportasi dan Pergudangan,9069238975957,2026-03
Kepulauan Riau,I,Penyediaan Akomodasi dan Makan Minum,1675967815121,2026-03
Kepulauan Riau,J,Informasi dan Komunikasi,98167027558,2026-03
Kepulauan Riau,K,Jasa Keuangan dan Asuransi,422158192270,2026-03
Kepulauan Riau,L,Real Estat,3040712017374,2026-03
Kepulauan Riau,MN,Jasa Perusahaan,627581749255,2026-03
Kepulauan Riau,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",30424558639,2026-03
Kepulauan Riau,P,Jasa Pendidikan,264261223655,2026-03
Kepulauan Riau,Q,Jasa Kesehatan dan Kegiatan Sosial,273700494989,2026-03
Kepulauan Riau,RSTU,Jasa Lainnya,1104008907763,2026-03
Kepulauan Riau,RT,Rumah Tangga (konsumsi),24752343117654,2026-03
Lainnya,A,"Pertanian, Kehutanan, dan Perikanan",2290636393363,2026-03
Lainnya,B,Pertambangan dan Penggalian,25198216577330,2026-03
Lainnya,C,Industri Pengolahan,43499671402953,2026-03
Lainnya,D,Pengadaan Listrik dan Gas,14076756675484,2026-03
Lainnya,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",260047785725,2026-03
Lainnya,F,Konstruksi,1024541320533,2026-03
Lainnya,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,29540454936576,2026-03
Lainnya,H,Transportasi dan Pergudangan,3843972446701,2026-03
Lainnya,I,Penyediaan Akomodasi dan Makan Minum,556152140963,2026-03
Lainnya,J,Informasi dan Komunikasi,628737911648,2026-03
Lainnya,K,Jasa Keuangan dan Asuransi,8289848763166,2026-03
Lainnya,L,Real Estat,1548264261221,2026-03
Lainnya,MN,Jasa Perusahaan,2704022886261,2026-03
Lainnya,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",113916607753588,2026-03
Lainnya,Q,Jasa Kesehatan dan Kegiatan Sosial,485700701182,2026-03
Lainnya,RSTU,Jasa Lainnya,132672389453,2026-03
Lainnya,RT,Rumah Tangga (konsumsi),1467268071531,2026-03
Lampung,A,"Pertanian, Kehutanan, dan Perikanan",12257725223484,2026-03
Lampung,B,Pertambangan dan Penggalian,236539123955,2026-03
Lampung,C,Industri Pengolahan,5369209489253,2026-03
Lampung,D,Pengadaan Listrik dan Gas,195549764703,2026-03
Lampung,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",18954858886,2026-03
Lampung,F,Konstruksi,776165945851,2026-03
Lampung,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,16967457451425,2026-03
Lampung,H,Transportasi dan Pergudangan,1921797692305,2026-03
Lampung,I,Penyediaan Akomodasi dan Makan Minum,1360486297419,2026-03
Lampung,J,Informasi dan Komunikasi,43311424927,2026-03
Lampung,K,Jasa Keuangan dan Asuransi,5591659426082,2026-03
Lampung,L,Real Estat,796837384084,2026-03
Lampung,MN,Jasa Perusahaan,528885883987,2026-03
Lampung,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",82397663373,2026-03
Lampung,P,Jasa Pendidikan,412378932266,2026-03
Lampung,Q,Jasa Kesehatan dan Kegiatan Sosial,909828573958,2026-03
Lampung,RSTU,Jasa Lainnya,1388643972572,2026-03
Lampung,RT,Rumah Tangga (konsumsi),25136867540342,2026-03
Maluku,A,"Pertanian, Kehutanan, dan Perikanan",660433951368,2026-03
Maluku,B,Pertambangan dan Penggalian,14447726906,2026-03
Maluku,C,Industri Pengolahan,214024827985,2026-03
Maluku,D,Pengadaan Listrik dan Gas,5351902781,2026-03
Maluku,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",8292156143,2026-03
Maluku,F,Konstruksi,276181183194,2026-03
Maluku,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,3944455242744,2026-03
Maluku,H,Transportasi dan Pergudangan,363836799610,2026-03
Maluku,I,Penyediaan Akomodasi dan Makan Minum,402455668018,2026-03
Maluku,J,Informasi dan Komunikasi,9420382821,2026-03
Maluku,K,Jasa Keuangan dan Asuransi,17696961411,2026-03
Maluku,L,Real Estat,77895935370,2026-03
